Ingredient,Primary Role,Secondary Roles,Routine Step,AM / PM Suitability,Strength Level,Frequency Guidance,Barrier Type Fit,Conflict Tags
Hyaluronic Acid / HA,Hydrator,Dehydration • Plumpness • Fine lines,Hydrate / Soothe,AM or PM,Gentle,Daily,Moisture-Impaired,Seal with moisturiser
Glycerin,Hydrator,Barrier support • Dryness • Tightness,Hydrate / Soothe,AM or PM,Gentle,Daily,Moisture-Impaired • Lipid-Depleted,Seal with moisturiser in dry environments
Panthenol / Pro-Vitamin B5,Soothing,Hydration • Barrier repair • Redness • Sensitivity,Hydrate / Soothe,AM or PM,Gentle,Daily,Moisture-Impaired • Inflammation-Reactive • Lipid-Depleted,No major conflicts
Urea,Hydrator,Roughness • Flaking • Barrier support,Hydrate / Soothe or Treat,AM or PM,Moderate,Daily if low strength,Moisture-Impaired • Lipid-Depleted,May sting cracked or irritated skin
Colloidal Oatmeal,Soothing,Itching • Redness • Dryness • Barrier support,Moisturise / Repair,AM or PM,Gentle,Daily,Inflammation-Reactive • Lipid-Depleted,Avoid if oat allergy
Centella Asiatica / Madecassoside,Soothing,Redness • Barrier stress • Recovery,Hydrate / Soothe,AM or PM,Gentle,Daily,Inflammation-Reactive,Botanical sensitivity possible
Allantoin,Soothing,Sensitivity • Comfort • Roughness,Hydrate / Soothe or Moisturise / Repair,AM or PM,Gentle,Daily,Inflammation-Reactive • Moisture-Impaired,No major conflicts
Bakuchiol,Firmness Support,Fine lines • Texture • Retinol alternative,Treat,AM or PM,Moderate,Daily or alternate days,Moisture-Impaired • Lipid-Depleted,Not equivalent to retinoids • Patch test
Zinc PCA,Oil Balance,Breakouts • Congestion • Shine • Redness,Treat,AM or PM,Gentle to Moderate,Daily if tolerated,Moisture-Impaired if breakout-prone,Can feel drying with acids/retinoids
Sulfur,Breakout Support,Oiliness • Congestion • Inflamed spots,Treat,PM or targeted use,Moderate to Strong,As needed or short contact,Hormonal breakout-prone,Drying • Avoid overuse with acids/retinoids
